TIMESTAMP X(deg/sec) Y(deg/sec) Z(deg/sec)
805127927984559744 -0.84000003 -1.61 -0.7
805127928060895232 -0.84000003 -1.54 -0.63
805127928137230592 -0.84000003 -1.61 -0.7
805127928213566080 -0.84000003 -1.61 -0.63
805127928289901440 -0.84000003 -1.61 -0.7
805127928366236928 -0.84000003 -1.61 -0.7
805127928442572288 -0.84000003 -1.61 -0.7
805127928518907776 -0.84000003 -1.61 -0.63
805127928595243264 -0.84000003 -1.54 -0.28
805127928671578624 -0.77 -0.7 43.96
805127928747914112 1.75 -1.6800001 69.79
805127928824249472 -0.14 0.07 77.91
805127928900584960 4.06 1.82 114.24
805127928976920448 4.34 8.19 185.92
805127929053255808 0.07 -8.19 164.08
805127929129591296 -0.56 -0.07 67.06
805127929205926656 0.28 -4.83 12.11
805127929282262144 0.42000002 0.77 85.54
805127929358597632 2.31 -1.75 103.95
805127929434932992 3.57 -0.7 137.27
805127929511268480 4.27 2.17 164.71
805127929587603840 3.99 2.73 195.93001
805127929663939328 5.11 4.13 226.73
805127929740274677 7.4900002 9.31 231.07
805127929816608640 1.96 3.15 250.81
805127929892942592 -3.5 -2.24 238.49
805127929969276672 2.73 -1.4 120.82
805127930045610624 0.77 -1.19 51.94
805127930121944576 2.52 -1.75 128.87
805127930198278656 3.43 -2.03 138.11
805127930274612608 3.78 -0.49 138.46
805127930350946560 3.01 0.7 142.59
805127930427280640 3.57 -0.07 158.41
805127930503614592 3.3600001 0.77 160.58
805127930579948544 3.29 0.0 153.02
805127930656282624 3.15 0.7 141.61
805127930732616576 3.15 1.33 132.79
805127930808950528 3.01 2.24 129.43001
805127930885284480 2.94 1.4 141.26
805127930961618560 3.57 3.71 146.09
805127931037952512 1.54 -0.07 129.36
805127931114286464 -0.63 -1.33 118.44
805127931190620544 0.56 -0.42000002 155.26
805127931266954496 -0.14 -1.19 81.2
805127931343288448 4.06 -0.07 7.98
805127931419622528 -1.54 -2.66 -13.16
805127931495956480 -2.31 -1.75 -0.7
805127931572290432 0.84000003 -0.84000003 -4.06
805127931648624512 -0.77 -1.82 -4.62
805127931724958464 -0.91 -3.5 1.75
805127931801292416 -0.84000003 -4.48 1.89
805127931877626496 -1.19 -1.89 -1.47
805127931953960448 -0.7 -2.24 -1.61
805127932030294400 -0.56 0.49 1.75
805127932106628480 -1.19 0.14 7.0
805127932182962432 -1.19 -4.83 2.52
805127932259296384 -0.77 -2.1 -0.7
805127932335630464 -0.84000003 -1.54 -0.7
805127932411964416 -0.84000003 -1.61 -0.63
805127932488298368 -0.84000003 -1.61 -0.7
805127932564632320 -0.84000003 -1.61 -0.7
805127932640966400 -0.84000003 -1.61 -0.7
805127932717300352 -0.91 -1.61 -0.63
805127932793634304 -0.84000003 -1.61 -0.63
805127932869968384 -0.84000003 -1.61 -0.63
805127932946302336 -0.84000003 -1.61 -0.63
805127933022636288 -0.84000003 -1.54 -0.7
805127933098970368 -0.84000003 -1.61 -0.63
805127933175304320 -0.84000003 -1.61 -0.63
805127933251638272 -0.84000003 -1.61 -0.63
805127933327972352 -0.84000003 -1.61 -0.7
805127933404306304 -0.84000003 -1.61 -0.7
805127933480640256 -0.84000003 -1.61 -0.7
805127933556974336 -0.84000003 -1.61 -0.63
805127933633308288 -0.84000003 -1.61 -0.63
805127933709642240 -0.84000003 -1.61 -0.7
805127933785976320 -0.84000003 -1.61 -0.7
805127933862310272 -0.84000003 -1.61 -0.63
805127933938644224 -0.84000003 -1.61 -0.7
805127934014978304 -0.84000003 -1.61 -0.63
805127934091312256 -0.91 -1.61 -0.63
805127934167646208 -0.84000003 -1.61 -0.63
805127934243980288 -0.91 -1.61 -0.63
805127934320314240 -0.84000003 -1.61 -0.63
805127934396648192 -0.91 -1.61 -0.63
805127934472982144 -0.84000003 -1.61 -0.63
805127934549316224 -0.84000003 -1.61 -0.7
805127934625650176 -0.84000003 -1.61 -0.63
805127934701984128 -0.84000003 -1.61 -0.63
805127934778318208 -0.84000003 -1.61 -0.63
805127934854652160 -0.84000003 -1.61 -0.63
805127934930986112 -0.84000003 -1.61 -0.63
805127935007320192 -1.33 -2.03 -28.630001
805127935083654144 -3.01 -1.96 -83.79
805127935159988096 -3.71 -2.8 -113.89
805127935236322176 -4.76 -3.29 -131.11
805127935312656128 -4.41 -2.66 -153.3
805127935388990147 -5.04 -3.5 -158.69
805127935465325440 -4.9 -2.8700001 -174.51
805127935541660672 -5.67 -7.0 -171.85
805127935617996032 -5.04 -3.99 -168.35
805127935694331264 -5.25 -4.83 -182.98
805127935770666496 -5.67 -4.48 -193.2
805127935847001728 -4.62 -3.85 -167.58
805127935923337088 -5.11 -2.73 -154.77
805127935999672320 -5.46 -3.08 -179.41
805127936076007552 -5.88 -3.15 -192.43001
805127936152342912 -9.03 -4.27 -237.44
805127936228678144 -6.44 -6.3 -207.9
805127936305013376 -5.18 -4.27 -164.92
805127936381348608 -4.48 -2.8700001 -145.25
805127936457683968 -3.78 -2.73 -130.13
805127936534019200 -3.99 -2.38 -126.07
805127936610354432 -3.5 -2.24 -115.71
805127936686689792 -3.29 -1.6800001 -121.94
805127936763025024 -3.64 -3.71 -118.58
805127936839360256 -4.48 -3.85 -139.93001
805127936915695488 -3.99 -1.61 -130.97
805127936992030848 -3.64 -2.8 -109.55
805127937068366080 -4.34 -1.6800001 -112.14
805127937144701312 -3.5 -2.73 -107.38
805127937221036672 -2.45 -3.3600001 -102.9
805127937297371904 -3.01 -3.08 -96.04
805127937373707136 -2.8 -3.29 -94.22
805127937450042368 -2.52 -3.29 -91.14
805127937526377728 -4.2 -1.82 -75.95
805127937602712960 -2.8700001 -1.54 -32.06
805127937679048192 -1.33 -1.6800001 -10.99
805127937755383552 -0.84000003 -1.61 -0.63
805127937831718784 -0.98 -1.61 -1.61
805127937908054016 -1.05 -1.82 -11.76
805127937984389248 -1.05 -2.45 -27.86
805127938060724608 -0.98 -1.54 -2.24
