w,x,y,z,time
0.9996063912079755,-0.01005732521416907,-0.025311029435857915,-0.006727901203337104,8.0
0.9995982310979059,-0.010170265720755347,-0.025563136763488054,-0.006816752886652353,8.076923136000001
0.9995900369353106,-0.010288241128881265,-0.02581013048383075,-0.006909943454626587,8.153846144000001
0.9995815214149357,-0.010409660327253625,-0.026063879019844305,-0.007006798706446937,8.23076928
0.999572887423171,-0.010534639016984015,-0.026318104045442332,-0.007100810428377959,8.307692288
0.9995643042040963,-0.010658288922138824,-0.026566126604649073,-0.007200246902642862,8.384615424
0.9995556367284983,-0.010781744111068671,-0.026814124061805007,-0.007299714310002434,8.461538432000001
0.9995468724607881,-0.010905579285975743,-0.027062184937452383,-0.007399745989239312,8.538461568
0.9995379849384268,-0.011030861973957572,-0.02731048134922596,-0.007501623678527521,8.615384576
0.999530139736569,-0.011167317265095487,-0.027516468656998253,-0.007591754470753911,8.692307712
0.9995729507905426,-0.012215333143095407,-0.025724517933342843,-0.006553690653967838,8.769230720000001
0.9995280752649991,-0.01131896238650012,-0.027460937977612815,-0.007836117210018577,8.846153856
0.9994690457187846,-0.011633948744693517,-0.02821703481933698,-0.011405123085365712,8.923076864
0.9994304059654819,-0.01146631503820567,-0.02869985875519669,-0.013553794986946567,9.0
0.9994114636826253,-0.011068355487648923,-0.02937281673316814,-0.013836741079865015,9.076923136
0.9994539610921083,-0.010246802717757492,-0.029039329057616116,-0.011979151023388226,9.153846144
0.9994968204832574,-0.009455594011772431,-0.02885469065300822,-0.00917084582048912,9.23076928
0.9995043891398565,-0.00951261906655102,-0.028980281055052355,-0.00778649334597276,9.307692288
0.9995356682069564,-0.009635064784182723,-0.028838045602841478,-0.0019951527475250055,9.384615424
0.9994786635888971,-0.011348457104536639,-0.029809195871999643,0.005002538691835173,9.461538432
0.9994172796003095,-0.011971511105611019,-0.029581672377923345,0.012112341536234044,9.538461568
0.9993099495710509,-0.01224851787818769,-0.02909375883055452,0.019574261038430504,9.615384576
0.9990544833287244,-0.013041042412112422,-0.029347777476230023,0.029304922978685824,9.692307712
0.9987584752323265,-0.012950820482617411,-0.029713044800996128,0.03782749488241395,9.76923072
0.9984421011026721,-0.013119290196804446,-0.029721316330017136,0.045364064258225256,9.846153856
0.9982976343574209,-0.013001750250903615,-0.029558490541965556,0.04857039595958537,9.923076864
0.9982900092516528,-0.012573302169344106,-0.029569887963163094,0.04883227648532794,10.0
0.9982309364036196,-0.013223187515730131,-0.02913026306331681,0.050115593307257546,10.076923136
0.998202680910882,-0.013687904262306668,-0.028764256022366576,0.050760877402913684,10.153846144
0.9981153121567966,-0.014010500694139614,-0.029588068763866503,0.05190448627300437,10.23076928
0.9978295109286862,-0.01441402651347248,-0.030551085872136167,0.05652551734855128,10.307692288
