TIMESTAMP X(mg) Y(mg) Z(mg)
805151410271979392 -1008 90 -133
805151410348315392 -1037 75 -10
805151410424651392 -1046 59 63
805151410500987264 -1043 -21 35
805151410577323264 -1021 -19 -13
805151410653659264 -1032 -47 -2
805151410729995264 -1031 -35 41
805151410806331264 -1036 -35 47
805151410882667264 -1033 -14 38
805151410959003264 -1025 13 15
805151411035339136 -1018 37 -31
805151411111675136 -1038 20 -12
805151411188011136 -1039 24 -16
805151411264347136 -1033 19 -41
805151411340683136 -1034 20 -32
805151411417019136 -1030 -7 -119
805151411493355008 -1028 28 -104
805151411569691008 -1014 4 -118
805151411646027008 -1019 7 -195
805151411722363008 -1033 66 -95
805151411798699008 -149 -121 -454
805151411875035008 -1014 114 69
805151411951371008 -1029 96 183
805151412027706880 -1124 98 100
805151412104042880 -1065 106 -57
805151412180378880 -1003 85 -85
805151412256714880 -876 102 -50
805151412333050880 -1026 154 -71
805151412409386880 -1039 165 -77
805151412485722880 -1036 179 -93
805151412562058752 -995 178 -128
805151412638394752 -1030 155 -54
805151412714730752 -1026 163 -66
805151412791066694 -1035 183 6
805151412867402240 -1017 169 -37
805151412943737728 -1089 110 34
805151413020073088 -1020 156 -107
805151413096408576 -1037 135 23
805151413172743936 -1042 111 20
805151413249079424 -1050 81 -25
805151413325414912 -1029 92 45
805151413401750272 -1016 230 77
805151413478085760 -1045 97 15
805151413554421120 -1031 76 64
805151413630756608 -1050 83 6
805151413707092096 -1038 65 82
805151413783427456 -1033 94 47
805151413859762944 -1042 95 -19
805151413936098304 -1029 121 2
805151414012433792 -1025 103 82
805151414088769280 -1037 102 34
805151414165104640 -1014 147 -2
805151414241440128 -1037 92 3
805151414317775488 -1036 68 59
805151414394110976 -1032 83 41
805151414470446464 -1026 95 43
805151414546781824 -1029 82 49
805151414623117312 -1033 69 46
805151414699452672 -1027 65 90
805151414775788160 -1029 55 95
805151414852123648 -1030 84 41
805151414928459008 -1034 66 62
805151415004794496 -1030 80 61
805151415081129856 -1032 73 71
805151415157465344 -1032 67 71
805151415233800704 -1040 71 45
805151415310136192 -1029 97 3
805151415386471680 -1030 111 -20
805151415462807040 -1027 97 42
805151415539142528 -1024 105 55
805151415615477888 -1030 108 23
805151415691813376 -1031 100 44
805151415768148864 -1032 98 54
805151415844484224 -1024 122 58
805151415920819712 -1031 112 55
805151415997155072 -1032 108 53
805151416073490560 -1027 119 64
805151416149826048 -1031 119 71
805151416226161408 -1029 115 51
805151416302496896 -1034 104 49
805151416378832256 -1032 115 54
805151416455167744 -1028 119 51
805151416531503232 -1028 113 59
805151416607838592 -1028 107 66
805151416684174080 -1029 113 67
805151416760509440 -1027 108 71
805151416836844928 -1029 99 61
805151416913180416 -1030 99 57
805151416989515776 -1031 105 64
805151417065851264 -1033 109 67
805151417142186624 -1026 99 75
805151417218522112 -1029 102 33
805151417294857600 -1031 81 49
805151417371192960 -1030 68 65
805151417447528448 -1032 69 30
805151417523863808 -1029 71 29
805151417600199296 -1035 79 36
805151417676534784 -1035 77 40
805151417752870144 -1029 87 31
805151417829205632 -1033 86 28
805151417905540992 -1033 84 29
805151417981876480 -1034 87 36
805151418058211968 -1029 95 43
805151418134547328 -1035 81 33
805151418210882816 -1034 86 30
805151418287218176 -1033 92 36
805151418363553664 -1029 92 38
805151418439889152 -1032 81 37
805151418516224512 -1030 83 38
805151418592560000 -1030 94 38
805151418668895360 -1031 87 39
805151418745230848 -1031 78 69
805151418821566336 -1029 90 40
805151418897901602 -1033 74 47
805151418974236288 -1037 83 41
805151419050571008 -1025 61 121
805151419126905600 -1026 82 81
805151419203240320 -1026 157 -109
805151419279575040 -1276 85 109
805151419355909632 -1003 190 33
805151419432244352 -1031 121 85
805151419508578944 -1018 165 42
805151419584913664 -1008 211 102
805151419661248384 -1030 165 -33
805151419737582976 -1032 139 54
805151419813917696 -1032 94 92
805151419890252416 -816 27 105
805151419966587008 -1034 -4 163
805151420042921728 -1016 126 15
805151420119256448 -1010 103 122
805151420195591040 -1206 148 5
805151420271925760 -1027 121 109
805151420348260352 -1409 394 172
805151420424595072 -1020 181 87
805151420500929792 -1040 192 -1
805151420577264384 -1092 120 114
805151420653599104 -802 47 287
805151420729933824 -1033 91 -24
805151420806268416 -1028 87 -90
805151420882603136 -1097 -11 128
805151420958937856 -1014 86 -127
805151421035272448 -1139 -73 30
805151421111607168 -1001 73 51
805151421187941760 -1027 -25 -174
805151421264276480 -1013 -10 -53
805151421340611200 -1000 -63 -92
805151421416945792 -1023 -23 10
805151421493280512 -1030 14 -180
805151421569615232 -1029 -13 -12
805151421645949824 -1039 5 -4
805151421722284544 -1039 23 -35
805151421798619264 -1003 81 -106
805151421874953856 -1066 83 -81
805151421951288576 -1051 75 70
805151422027623168 -1013 100 -192
805151422103957888 -1034 105 -46
805151422180292608 -1028 91 -47
805151422256627200 -1029 103 3
805151422332961920 -1046 44 39
805151422409296640 -1043 53 74
805151422485631232 -1032 81 -12
805151422561965952 -1335 113 75
805151422638300672 -986 93 -83
805151422714635264 -1015 79 -31
805151422790969984 -1062 118 -180
805151422867304576 -1030 70 -42
805151422943639296 -1019 67 -37
805151423019974016 -1041 38 31
805151423096308608 -1013 85 9
805151423172643328 -1017 72 -43
805151423248978048 -1029 67 -42
805151423325312640 -1029 76 -62
805151423401647360 -1045 76 44
805151423477982080 -1020 133 -59
805151423554316672 -1030 143 -16
805151423630651392 -1042 147 52
805151423706985984 -1023 188 -13
805151423783320704 -1073 255 -142
805151423859655424 -1077 231 60
805151423935990016 -1011 214 -86
805151424012324736 -1039 192 -131
805151424088659456 -1035 179 11
805151424164994048 -668 -4 -196
805151424241328738 -1016 129 -158
805151424317664000 -1080 219 -246
805151424393999232 -985 23 -205
805151424470334464 -1041 94 -121
805151424546669824 -1096 113 -106
805151424623005056 -1200 -322 911
805151424699340288 -1060 79 23
805151424775675520 -977 -53 431
